epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3098,1.20115,3.54659,1.77223,0.02042,1,0.33672,0.23932,0.78392,3.10416,1.58436,0.000218747,0.000218747,0.000218747
2,59.7988,1.00859,2.58274,1.5474,0.68968,0.79056,0.80881,0.61707,0.87214,1.44882,1.55298,0.000436714,0.000436714,0.000436714
3,110.161,0.94479,2.08674,1.47945,0.51788,0.87811,0.84601,0.64546,0.84778,1.74535,1.48706,0.000650278,0.000650278,0.000650278
4,150.373,0.9415,1.81002,1.45449,0.69266,0.96517,0.97154,0.74673,0.8598,1.22749,1.53626,0.00064719,0.00064719,0.00064719
5,178.83,0.90743,1.6125,1.41136,0.87216,0.93273,0.97044,0.76602,0.80586,1.00183,1.44871,0.000640587,0.000640587,0.000640587
6,191.525,0.84644,1.49881,1.38062,0.88371,0.87207,0.96862,0.70282,1.00048,1.22334,1.75651,0.000633983,0.000633983,0.000633983
7,205.34,0.84334,1.43165,1.37448,0.92484,0.95999,0.98724,0.76878,0.79487,0.78097,1.43098,0.00062738,0.00062738,0.00062738
8,218.754,0.82477,1.32913,1.3542,0.86387,0.91333,0.98414,0.79939,0.75023,0.88433,1.34113,0.000620777,0.000620777,0.000620777
9,231.806,0.76355,1.20589,1.31244,0.87626,0.96615,0.96368,0.77674,0.75963,0.6945,1.38201,0.000614174,0.000614174,0.000614174
10,244.218,0.76355,1.17025,1.30052,0.94858,0.97093,0.995,0.84588,0.65063,0.59773,1.27654,0.00060757,0.00060757,0.00060757
11,256.91,0.75662,1.139,1.29464,0.9296,0.96397,0.99284,0.81069,0.72223,0.68497,1.29485,0.000600967,0.000600967,0.000600967
12,269.64,0.7339,1.09729,1.29587,0.96915,0.9703,0.993,0.83758,0.66454,0.59132,1.25903,0.000594364,0.000594364,0.000594364
13,282.241,0.73354,1.03773,1.28428,0.91558,0.98265,0.98626,0.86642,0.56854,0.55314,1.15248,0.00058776,0.00058776,0.00058776
14,294.655,0.74072,0.98491,1.2805,0.95461,0.9505,0.99341,0.85848,0.58274,0.54518,1.20688,0.000581157,0.000581157,0.000581157
15,306.938,0.70541,0.97021,1.26164,0.95968,0.98573,0.99415,0.8644,0.57129,0.5347,1.16856,0.000574554,0.000574554,0.000574554
16,319.229,0.70353,0.94879,1.25868,0.98051,0.99351,0.9942,0.82781,0.6788,0.55904,1.27037,0.00056795,0.00056795,0.00056795
17,331.521,0.6842,0.92976,1.24815,0.9847,0.99491,0.995,0.89533,0.52064,0.44731,1.09883,0.000561347,0.000561347,0.000561347
18,343.791,0.67635,0.87511,1.23652,0.96625,0.98856,0.995,0.88712,0.49943,0.44329,1.06328,0.000554744,0.000554744,0.000554744
19,356.06,0.66281,0.86956,1.22696,0.9693,0.99037,0.99458,0.87623,0.52999,0.45921,1.09905,0.000548141,0.000548141,0.000548141
20,368.492,0.65564,0.84157,1.21651,0.96955,1,0.995,0.8765,0.54042,0.42845,1.10669,0.000541537,0.000541537,0.000541537
21,381.048,0.66092,0.84106,1.23586,0.94857,0.98596,0.9942,0.86851,0.51628,0.48078,1.0745,0.000534934,0.000534934,0.000534934
22,393.798,0.65754,0.81027,1.22139,0.9884,0.99742,0.995,0.88842,0.52523,0.3968,1.07491,0.000528331,0.000528331,0.000528331
23,406.675,0.6437,0.79788,1.22328,0.96082,0.99613,0.99245,0.90126,0.46583,0.41525,1.03202,0.000521727,0.000521727,0.000521727
24,419.119,0.64265,0.804,1.22344,0.96625,0.99433,0.99458,0.90004,0.46379,0.43003,1.00627,0.000515124,0.000515124,0.000515124
25,431.932,0.62481,0.75873,1.20166,0.97939,0.99715,0.995,0.88356,0.48695,0.37989,1.04455,0.000508521,0.000508521,0.000508521
26,445.084,0.63543,0.78195,1.20796,0.9723,0.99625,0.995,0.88084,0.55092,0.44495,1.11639,0.000501917,0.000501917,0.000501917
27,458.002,0.62856,0.74951,1.20827,0.91921,0.97443,0.99359,0.90029,0.47309,0.52117,1.02157,0.000495314,0.000495314,0.000495314
28,470.41,0.60979,0.72908,1.19534,0.97653,0.9882,0.995,0.90058,0.49281,0.3863,1.04305,0.000488711,0.000488711,0.000488711
29,483.089,0.60098,0.70432,1.18643,0.98875,0.99128,0.995,0.88973,0.47438,0.36238,1.02561,0.000482108,0.000482108,0.000482108
30,496.038,0.60602,0.68179,1.19089,0.98258,1,0.995,0.913,0.43371,0.34398,0.97142,0.000475504,0.000475504,0.000475504
31,520.85,0.60098,0.67207,1.18387,0.97494,1,0.995,0.88578,0.46122,0.3411,1.00368,0.000468901,0.000468901,0.000468901
32,533.456,0.59376,0.68591,1.1807,0.97627,0.99405,0.995,0.89761,0.4652,0.39119,1.01852,0.000462298,0.000462298,0.000462298
33,546.868,0.57787,0.65387,1.17132,0.97742,0.98715,0.995,0.91408,0.42299,0.34377,0.97382,0.000455694,0.000455694,0.000455694
34,559.275,0.56049,0.6222,1.15838,0.98359,1,0.995,0.9018,0.44266,0.32331,0.98119,0.000449091,0.000449091,0.000449091
35,572.134,0.57892,0.63166,1.16706,0.95604,0.97314,0.97691,0.89299,0.42267,0.35803,0.97287,0.000442488,0.000442488,0.000442488
